,aid,view,danmaku,reply,favorite,coin,share
1276,2168,1491,29,12,19,2,1
1277,2172,1449,10,4,0,4,0
1278,2176,497,8,4,1,4,0
1279,2175,1756,195,6,2,3,0
1280,2173,2088,69,10,1,0,0
1281,2181,3169,162,24,41,2,2
1282,2180,5000,380,18,3,0,0
1283,2184,4168,103,10,49,2,0
1284,2183,5482,436,27,11,1,0
1285,2191,6571,204,21,102,6,2
1286,2187,2743,29,6,29,9,1
1287,2185,2427,127,13,19,1,3
1288,2186,-1,65,11,23,5,2
1289,2188,-1,62,6,18,4,0
1290,2193,2375,23,9,2,1,0
1291,2196,3383,222,19,5,0,0
1292,2202,1009,73,18,3,0,0
1293,2204,10434,220,59,146,8,9
1294,2205,1376,11,5,4,1,0
1295,2203,1115,22,9,3,1,0
1296,2206,656,10,14,1,0,0
1297,2213,1107,61,10,1,0,0
1298,2216,1766,280,18,7,0,1
1299,2212,2950,83,19,4,0,0
1300,2209,813,80,10,14,1,0
1301,2215,4844,142,25,223,16,5
1302,2217,1075,9,4,3,0,0
1303,2219,5928,327,28,37,1,2
1304,2222,7898,210,60,83,3,1
1305,2223,631,469,36,94,36,2
1306,2227,1487,83,7,2,0,0
1307,2218,4433,345,18,15,0,0
1308,2224,3659,133,17,22,4,0
1309,2230,1607,32,10,7,0,1
1310,2232,736,6,5,4,2,1
1311,2231,15234,266,21,165,3,0
1312,2229,2162,40,5,8,4,0
1313,2226,7124,557,37,42,8,2
1314,2228,1968,80,10,34,7,1
1315,2234,2520,79,43,71,20,6
1316,2237,1075,16,16,6,1,0
1317,2241,537,1,3,4,0,0
1318,2238,965,25,4,0,4,1
1319,2242,533,28,7,5,0,0
1320,2235,695,6,3,8,1,0
1321,2236,764,2,3,3,1,0
1322,2233,28785,122,417,212,18,5
1323,2249,2512,51,12,21,1,1
1324,2240,117,27,8,6,0,0
1325,2246,13827,128,27,110,9,3
1326,2243,2390,80,4,11,1,0
1327,2244,3119,119,27,2,1,0
1328,2248,-1,25,9,4,0,0
1329,2247,692,27,6,3,0,0
1330,2253,-1,88,25,11,0,0
1331,2255,6148,218,27,31,3,1
1332,2251,-1,472,12,6,1,0
1333,2258,3550,172,20,138,13,2
1334,2259,150,34,11,21,0,2
1335,2257,2661,102,7,11,0,0
1336,2263,43323,2212,344,612,84,18
1337,2261,23663,1046,17,51,18,0
1338,2266,2004,184,15,9,3,0
1339,2267,1010,59,5,4,0,0
1340,2273,79,18,2,2,1,0
1341,2270,2721,28,4,8,5,0
1342,2275,1173,83,5,3,0,0
1343,2268,13683,302,20,16,1,2
1344,2271,638,9,5,4,0,0
1345,2269,30420,617,77,311,23,2
1346,2278,6395,83,23,65,6,1
1347,2280,2446,77,15,14,2,0
1348,2282,6768,26,18,7,3,0
1349,2272,1176,16,2,1,2,0
1350,2279,1645,9,3,7,1,0
1351,2277,2336,67,13,74,11,1
1352,2274,1670,90,2,8,0,1
1353,2284,768,20,3,1,0,0
1354,2245,1911,38,11,2,1,0
1355,2288,22444,3471,29,76,8,1
1356,2281,505,2,3,5,0,0
1357,2290,35993,3272,66,110,88,3
1358,2260,-1,113,42,39,0,0
1359,2287,1529,59,5,8,0,1
1360,2283,-1,295,87,55,9,2
1361,2285,8447,399,74,173,1,4
1362,2292,658,7,6,5,0,0
1363,2293,1335,31,11,13,0,1
1364,2295,34700,1388,58,340,13,4
1365,2294,6819,186,12,52,1,0
1366,2302,6636,100,25,72,4,0
1367,2297,963,89,3,6,1,0
1368,2296,1136,48,4,5,0,0
1369,2300,14708,859,46,137,0,0
1370,2301,2924,46,17,23,3,1
1371,2303,51600,957,134,1543,61,5
1372,2308,998,12,4,3,0,0
1373,2305,2419,35,8,10,1,0
1374,2306,122,37,8,4,0,0
1375,2307,903,32,12,29,1,1
1376,2310,462,5,5,3,0,0
1377,2309,551,4,4,3,0,0
1378,2312,5440,89,23,82,12,2
1379,2314,842,5,2,2,0,1
1380,2319,14679,313,64,508,20,5
1381,2313,170131,14135,1921,5424,478,85
1382,2315,1561,65,4,14,2,0
1383,2317,4836,195,19,77,3,2
1384,2318,11316,491,38,475,22,17
1385,2320,44296,2386,103,26,7,1
1386,2321,4718,156,8,42,6,1
1387,2329,9782,1079,28,30,1,2
1388,2332,1059693,69108,2382,9053,1715,793
1389,2330,812,28,2,7,0,0
1390,2331,-1,263,50,51,0,0
1391,2334,929,21,6,7,0,1
1392,2335,749,101,4,19,0,0
1393,2328,117,403,9,6,0,0
1394,2337,9569,15,6,6,38,0
1395,2333,97704,1449,1506,942,154,36
1396,2327,2712,69,4,28,6,0
1397,2342,1396,41,4,3,0,0
1398,2344,1272,300,15,2,0,0
1399,2346,1349,135,8,10,0,0
1400,2336,874,12,6,24,2,0
1401,2345,2067,845,227,843,38,10
1402,2340,1137,5,3,128,0,0
1403,2350,8190,355,24,122,6,4
1404,2353,950,178,4,12,1,0
1405,2349,1716,72,5,7,2,0
1406,2351,1049,88,2,6,0,0
1407,2348,57977,1000,139,531,56,11
1408,2363,4926,109,15,14,5,1
1409,2359,-1,13,3,2,0,0
1410,2368,1502,11,2,2,2,0
1411,2382,2510,74,8,4,1,0
1412,2373,1455,2218,52,481,14,2
1413,2381,8369,574,11,8,2,0
1414,2380,4201,18,2,12,3,5
1415,2383,2752,58,8,49,5,1
1416,2384,16887,198,60,372,15,11
1417,2389,778,7,1,5,4,0
1418,2388,2892,79,14,15,1,0
1419,2386,28482,288,104,986,44,22
1420,2410,2987,686,8,21,0,0
1421,2396,1174,73,3,12,2,0
1422,2405,6677,46,15,18,0,1
1423,2408,1359,74,13,27,2,0
1424,2397,269,15,9,22,4,0
1425,2399,8464,121,11,13,2,1
1426,2411,1162,3,7,3,0,0
1427,2402,3346,97,10,13,1,0
1428,2398,8036,296,30,59,0,0
1429,2403,1986,63,16,27,2,0
1430,2400,3564,72,20,65,1,0
1431,2395,4233,199,16,62,9,2
1432,2393,6515,233,32,32,2,0
1433,2417,2412,114,8,5,0,0
1434,2406,753,17,2,2,0,2
1435,2432,2486,92,16,16,1,0
1436,2418,2560,65,6,9,2,1
1437,2416,14674,187,42,76,2,1
1438,2409,1328,24,5,13,1,0
1439,2431,248,195,24,19,3,2
1440,2423,1064,18,5,2,0,0
1441,2422,1000,6,1,3,0,0
1442,2425,8396,211,10,86,5,1
1443,2412,16,105,14,3,0,2
1444,2437,460,2,1,3,0,0
1445,2421,754,4,6,1,0,0
1446,2419,1187,39,8,1,0,0
1447,2426,2082,54,5,4,0,2
1448,2436,1992,52,9,2,0,0
1449,2435,1694,57,9,18,3,2
1450,2434,1366,35,2,3,0,0
1451,2429,24688,231,33,409,42,26
1452,2415,2139,15,13,16,2,0
1453,2438,1287,12,4,6,0,1
1454,2439,-1,4859,581,2240,59,21
1455,2440,2233,20,4,10,3,1
1456,2444,3196,148,17,31,1,1
1457,2449,890,51,1,9,1,2
1458,2447,-1,33,2,18,1,2
1459,2446,4403,297,56,36,2,0
1460,2442,632,57,3,3,1,0
1461,2448,-1,45,2,5,0,1
1462,2450,12535,517,105,27,3,2
1463,2458,852,37,3,8,0,0
1464,2457,1639,124,11,17,0,0
1465,2461,-1,46,8,28,0,0
1466,2451,2403,134,19,8,0,1
1467,2452,2348,363,3,13,4,0
1468,2471,837,12,8,0,0,0
1469,2456,2260,223,10,44,2,0
1470,2462,526,1,4,1,0,0
1471,2466,4149,82,13,59,0,0
1472,2469,2967,77,14,72,9,4
1473,2473,12697,1045,101,106,6,6
1474,2472,23314,514,120,529,30,8
1475,2468,694,1458,148,68,6,1
1476,2470,7115,256,63,229,25,2
1477,2474,2875,89,11,5,1,0
1478,2476,732,15,3,3,0,0
1479,2475,4628,136,26,22,1,1
1480,2477,5996,265,29,82,8,2
1481,2481,882,36,14,2,0,0
1482,2479,127560,4411,1162,3504,234,46
1483,2483,157730,2775,91,627,13,3
1484,2480,1031,236,35,24,1,0
1485,2487,1455,15,4,1,0,1
1486,2488,693,6,3,4,0,0
1487,2494,1784,51,17,3,0,0
1488,2489,36304,2007,132,487,43,7
1489,2497,1708,30,7,9,1,2
1490,2496,10298,599,47,63,7,3
1491,2495,889,114,6,7,0,0
1492,2507,1944,109,13,4,0,0
1493,2502,2255,49,7,43,5,0
1494,2501,7872,595,33,35,0,0
1495,2503,9687,218,36,119,7,3
1496,2516,5384,158,52,148,30,3
1497,2510,527,164,16,47,1,1
1498,2499,9274,645,19,37,2,1
1499,2517,24127,3098,99,328,13,1
1500,2515,760,64,9,1,0,1
1501,2518,1890,239,7,28,2,0
1502,2522,1442,6,4,7,0,0
1503,2513,828,104,5,4,0,1
1504,2520,7679,145,24,28,5,1
1505,2525,27164,1162,92,802,45,16
1506,2523,431,312,14,18,1,0
1507,2524,29579,1659,322,752,111,1
1508,2526,2713,208,26,95,9,4
1509,2527,8598,343,27,63,0,1
1510,2529,66577,2245,548,1348,143,33
1511,2534,629,13,4,3,0,0
1512,2530,6071,97,16,30,4,2
1513,2531,1148,86,14,4,0,0
1514,2538,42705,4286,198,1721,81,27
1515,2536,2118,8,0,3,0,4
1516,2539,5843,214,17,2,76,0
1517,2542,2358,23,7,1,36,0
1518,2541,2315,110,32,35,12,1
1519,2545,1574,86,13,2,6,0
1520,2544,1752,19,11,6,7,0
1521,2543,41554,53,2,20,463,1
1522,2546,21244,559,83,394,249,8
1523,2548,-1,11,7,2,0,1
1524,2551,8663,130,24,42,0,0
1525,2557,178063,4874,2177,6434,334,199
1526,2554,1480,76,11,3,0,0
1527,2552,5711,102,29,107,22,8
1528,2553,2553,39,14,19,2,0
1529,2563,-1,107,33,22,0,0
1530,2560,1396,314,4,3,1,0
1531,2556,23147,482,95,163,21,2
1532,2570,1148,41,5,33,0,0
1533,2565,1495,152,8,1,0,0
